Date,BAB,MKT,SMB,HML,UMD
02/02/1987,0.00,0.01,0.00,0.00,0.00
02/03/1987,0.00,0.00,0.01,0.00,0.00
02/04/1987,-0.01,0.01,0.00,0.00,0.00
02/05/1987,0.00,0.00,0.00,0.00,-0.01
02/06/1987,0.00,0.00,0.01,0.00,0.00
02/09/1987,0.00,0.00,0.00,0.00,0.00
02/10/1987,0.00,0.00,0.01,0.00,0.00
02/11/1987,0.00,0.00,0.00,-0.01,0.00
02/12/1987,0.00,0.00,0.01,0.00,0.00
02/13/1987,0.00,0.00,-0.01,-0.01,0.00
02/16/1987,0.00,0.00,0.00,0.00,0.00
02/17/1987,0.00,0.01,-0.01,-0.01,0.00
02/18/1987,0.00,0.00,0.00,0.00,0.00
02/19/1987,0.00,0.00,0.00,0.00,0.00
02/20/1987,0.01,0.00,0.00,0.00,0.00
02/23/1987,0.01,-0.01,0.01,0.00,0.00
02/24/1987,0.00,0.01,0.00,-0.01,0.01
02/25/1987,0.00,0.00,0.00,-0.01,0.00
02/26/1987,0.00,0.00,0.00,0.00,0.00
02/27/1987,0.00,0.00,0.00,0.00,0.00
03/02/1987,0.01,0.01,0.00,0.00,0.00
03/03/1987,0.00,0.00,0.00,0.00,0.00
03/04/1987,0.00,0.01,-0.01,0.00,0.00
03/05/1987,0.00,0.00,0.00,0.00,0.00
03/06/1987,0.00,0.01,0.00,0.00,0.00
03/09/1987,0.00,0.00,0.00,0.00,-0.01
03/10/1987,0.00,0.00,0.00,0.00,0.00
03/11/1987,0.00,0.00,0.00,0.00,0.00
03/12/1987,0.00,0.00,0.00,0.00,0.00
03/13/1987,0.00,0.00,0.00,0.00,0.00
03/16/1987,0.01,0.00,0.00,0.00,0.00
03/17/1987,0.00,0.01,-0.01,0.00,0.01
03/18/1987,0.00,0.00,0.00,0.00,0.00
03/19/1987,0.00,0.00,0.00,0.00,0.00
03/20/1987,0.00,0.01,0.00,0.00,0.00
03/23/1987,0.00,0.01,-0.01,0.00,0.00
03/24/1987,0.00,0.00,0.00,0.00,0.00
03/25/1987,0.00,0.00,0.00,0.00,0.00
03/26/1987,0.00,0.00,0.00,0.00,0.01
03/27/1987,0.01,0.01,0.01,0.00,0.01
03/30/1987,0.00,-0.01,0.00,0.00,0.01
03/31/1987,0.00,0.00,0.00,0.00,0.00
04/01/1987,0.00,0.00,-0.01,0.00,0.00
04/02/1987,0.00,0.00,0.00,0.00,0.00
04/03/1987,0.00,0.01,-0.01,-0.01,0.00
04/06/1987,0.00,0.01,0.00,0.00,0.01
04/07/1987,0.01,0.00,0.01,0.00,0.00
04/08/1987,0.00,0.00,0.00,0.00,0.00
04/09/1987,0.00,0.00,0.01,0.00,0.01
04/10/1987,0.01,0.01,0.00,0.00,0.01
04/13/1987,0.00,-0.01,0.01,0.00,0.00
04/14/1987,0.00,0.01,0.00,0.00,0.01
04/15/1987,-0.01,0.01,-0.01,0.00,0.01
04/16/1987,0.00,0.01,0.00,0.01,0.00
04/17/1987,0.00,0.00,0.00,0.00,0.00
04/20/1987,0.00,0.00,0.00,0.00,0.00
04/21/1987,-0.01,0.01,-0.02,0.00,0.00
04/22/1987,0.00,-0.01,0.02,0.00,0.00
04/23/1987,0.00,0.00,0.00,0.00,0.00
04/24/1987,0.01,0.00,0.01,0.00,0.00
04/27/1987,0.00,-0.01,-0.01,0.00,-0.01
04/28/1987,-0.01,-0.01,0.00,0.00,-0.01
04/29/1987,0.00,0.00,0.00,0.00,0.00
04/30/1987,0.00,0.01,0.00,0.00,0.00
05/01/1987,0.00,0.01,0.00,0.00,0.00
05/04/1987,0.00,0.01,-0.01,0.00,0.00
05/05/1987,-0.01,0.01,-0.01,0.00,0.00
05/06/1987,0.00,0.00,0.00,0.01,0.00
05/07/1987,0.00,0.00,0.00,0.00,0.00
05/08/1987,0.00,0.00,0.00,0.00,0.00
05/11/1987,0.00,0.00,0.01,0.00,0.00
05/12/1987,0.00,0.00,0.00,0.00,0.00
05/13/1987,0.00,0.00,0.00,0.00,-0.01
05/14/1987,0.00,0.00,0.00,0.00,0.00
05/15/1987,0.01,-0.01,0.01,0.00,0.00
05/18/1987,0.00,-0.01,-0.01,0.00,0.00
05/19/1987,0.01,-0.01,0.01,0.00,-0.01
05/20/1987,0.00,-0.02,0.00,0.00,-0.02
05/21/1987,0.00,0.00,0.00,0.00,0.00
05/22/1987,0.00,0.01,-0.01,0.00,0.01
05/25/1987,0.00,0.01,0.00,0.00,0.01
05/26/1987,-0.01,0.00,-0.01,0.00,-0.01
05/27/1987,0.00,0.00,0.00,0.00,-0.02
05/28/1987,0.00,0.00,0.00,0.00,0.00
05/29/1987,0.00,0.00,0.01,0.00,0.00
06/01/1987,0.00,0.00,0.00,0.00,0.00
06/02/1987,0.00,0.01,0.00,0.00,0.00
06/03/1987,-0.01,0.01,-0.01,0.00,0.00
06/04/1987,0.00,0.00,0.00,0.00,0.00
06/05/1987,0.01,0.00,0.00,0.00,0.00
06/08/1987,0.00,0.01,-0.01,0.00,0.00
06/09/1987,0.00,0.01,0.00,0.00,0.00
06/10/1987,0.00,0.01,0.00,0.00,0.01
06/11/1987,0.00,0.00,0.00,0.00,-0.01
06/12/1987,0.00,0.00,0.00,0.00,-0.01
06/15/1987,0.00,0.00,0.00,0.00,-0.01
06/16/1987,0.00,0.00,0.00,0.00,0.00
06/17/1987,0.00,0.00,0.00,0.00,0.00
06/18/1987,0.00,0.00,0.00,0.00,0.00
06/19/1987,0.00,-0.01,0.00,0.00,-0.01
06/22/1987,0.00,-0.01,-0.01,0.00,-0.01
06/23/1987,0.00,0.00,0.00,0.00,-0.01
06/24/1987,0.00,0.00,0.00,0.00,0.00
06/25/1987,0.00,0.00,0.00,0.00,0.00
06/26/1987,0.01,-0.01,0.00,0.00,0.00
06/29/1987,0.00,-0.01,0.00,0.01,0.01
06/30/1987,0.01,-0.01,0.01,0.01,-0.01
07/01/1987,0.01,0.00,0.00,0.00,0.00
07/02/1987,0.00,0.01,0.00,0.00,0.01
07/03/1987,0.00,-0.01,0.00,0.00,0.00
07/06/1987,0.01,-0.01,0.00,0.00,-0.01
07/07/1987,0.00,0.00,0.00,0.01,0.01
07/08/1987,0.00,0.00,0.00,0.00,0.00
07/09/1987,0.00,0.00,0.00,0.00,0.00
07/10/1987,0.00,0.00,0.00,0.00,0.00
07/13/1987,0.00,0.00,0.00,0.00,0.00
07/14/1987,0.00,0.00,0.00,0.00,0.00
07/15/1987,0.00,0.01,0.00,0.00,0.00
07/16/1987,0.00,0.00,0.00,0.00,0.01
07/17/1987,0.00,-0.01,0.00,0.00,-0.01
07/20/1987,0.00,-0.01,0.00,0.00,-0.01
07/21/1987,0.00,-0.01,0.00,0.00,0.00
